time,B
"17,6161047222222","-0,54"
"17,6161136111111","-0,58"
"17,6161222222222","-0,62"
"17,6161308333333","-0,58"
"17,6161394444444","-0,58"
"17,6161483333333","-0,52"
"17,6161569444444","-0,61"
"17,6161655555556","-0,69"
"17,6161741666667","-0,7"
"17,6161830555556","-0,8"
"17,6161916666667","-0,84"
"17,6162002777778","-0,81"
"17,6162088888889","-0,87"
"17,6162177777778","-0,87"
"17,6162263888889","-0,87"
"17,616235","-0,9"
"17,6162436111111","-0,8"
"17,6162525","-0,87"
"17,6162611111111","-0,77"
"17,6162697222222","-0,75"
"17,6162783333333","-0,82"
"17,6162872222222","-0,71"
"17,6162958333333","-0,75"
"17,6163044444444","-0,69"
"17,6163130555556","-0,53"
"17,6163219444444","-0,59"
"17,6163305555556","-0,48"
"17,6163391666667","-0,52"
"17,6163477777778","-0,68"
"17,6163566666667","-1,01"
"17,6163652777778","-1,11"
"17,6163738888889","-1,33"
"17,6163825","-1,39"
"17,6163913888889","-1,3"
"17,6164","-1,13"
"17,6164086111111","-0,99"
"17,6164172222222","-1,08"
"17,6164261111111","-0,86"
"17,6164347222222","-0,59"
"17,6164433333333","-0,58"
"17,6164519444444","-0,55"
"17,6164608333333","-0,61"
"17,6164694444444","-0,62"
"17,6164780555556","-0,76"
"17,6164866666667","-0,83"
"17,6164955555556","-0,99"
"17,6165041666667","-1,05"
"17,6165127777778","-1,1"
"17,6165213888889","-1,07"
"17,6165302777778","-1,02"
"17,6165388888889","-1,04"
"17,6165475","-0,94"
"17,6165561111111",-1
"17,616565","-0,91"
"17,6165736111111","-0,85"
"17,6165822222222","-0,67"
"17,6165908333333","-0,58"
"17,6165997222222","-0,72"
"17,6166083333333","-0,64"
"17,6166169444444","-0,83"
"17,6166255555556","-0,94"
"17,6166344444444",-1
"17,6166430555556","-1,04"
"17,6166516666667","-1,14"
"17,6166602777778","-1,05"
"17,6166691666667","-1,02"
"17,6166777777778","-1,02"
"17,6166863888889","-0,95"
"17,616695","-0,94"
"17,6167038888889","-0,79"
"17,6167125","-0,76"
"17,6167211111111","-0,51"
"17,6167297222222","-0,51"
"17,6167386111111","-0,58"
"17,6167472222222","-0,76"
"17,6167558333333","-0,84"
"17,6167644444444","-0,89"
"17,6167733333333","-1,04"
"17,6167819444444","-0,91"
"17,6167905555556","-0,87"
"17,6167991666667","-0,93"
"17,6168080555556","-1,03"
"17,6168166666667","-0,92"
"17,6168252777778","-0,95"
"17,6168338888889","-1,01"
"17,6168427777778","-1,04"
"17,6168513888889","-1,28"
"17,61686","-1,36"
"17,6168686111111","-1,51"
"17,6168775","-1,31"
"17,6168861111111","-1,09"
"17,6168947222222","-1,04"
"17,6169033333333","-0,86"
"17,6169122222222","-0,65"
"17,6169208333333","-0,58"
"17,6169294444444","-0,54"
"17,6169380555556","-0,61"
"17,6169469444444","-0,73"
"17,6169555555556","-0,89"
"17,6169641666667","-0,99"
"17,6169727777778","-0,83"
"17,6169816666667","-0,8"
"17,6169902777778","-0,92"
"17,6169988888889","-0,97"
"17,6170075","-0,94"
"17,6170163888889","-0,88"
"17,617025","-0,9"
"17,6170336111111","-0,9"
"17,6170422222222","-0,93"
"17,6170511111111","-0,93"
"17,6170597222222",-1
"17,6170683333333","-1,09"
"17,6170769444444","-0,99"
"17,6170858333333","-1,03"
"17,6170944444444","-0,86"
"17,6171030555556","-0,87"
"17,6171116666667","-1,02"
"17,6171205555556","-1,08"
"17,6171291666667","-1,28"
"17,6171377777778","-1,28"
"17,6171463888889","-1,28"
"17,6171552777778","-1,27"
"17,6171638888889","-1,19"
"17,6171725","-1,2"
"17,6171811111111","-1,27"
"17,61719","-1,45"
"17,6171986111111","-1,54"
"17,6172072222222","-1,61"
"17,6172158333333","-1,58"
"17,6172247222222","-1,49"
"17,6172333333333","-1,56"
"17,6172419444444","-1,65"
"17,6172505555556","-1,7"
"17,6172594444444","-1,69"
"17,6172680555556","-1,63"
"17,6172766666667","-1,52"
"17,6172852777778","-1,54"
"17,6172941666667","-1,39"
"17,6173027777778","-1,52"
"17,6173113888889","-1,49"
"17,61732","-1,53"
"17,6173288888889","-1,56"
"17,6173375","-1,55"
"17,6173461111111","-1,45"
"17,6173547222222","-1,53"
"17,6173636111111","-1,49"
"17,6173722222222","-1,47"
"17,6173808333333","-1,39"
"17,6173894444444","-1,46"
"17,6173983333333","-1,35"
"17,6174069444444","-1,23"
"17,6174155555556","-1,18"
"17,6174241666667","-1,01"
"17,6174330555556","-1,04"
"17,6174416666667",-1
"17,6174502777778","-1,07"
"17,6174588888889","-1,14"
"17,6174677777778","-1,19"
"17,6174763888889","-1,41"
"17,617485","-1,3"
"17,6174936111111","-1,22"
"17,6175022222222","-1,23"
"17,6175111111111","-1,18"
"17,6175197222222","-1,18"
"17,6175283333333","-1,1"
"17,6175369444444","-0,95"
"17,6175458333333","-0,81"
"17,6175544444444","-0,76"
"17,6175630555556","-0,63"
"17,6175716666667","-0,54"
"17,6175805555556","-0,68"
"17,6175891666667","-0,63"
