TIME,Ls [deg],R [km],XMSO [km],YMSO [km],ZMSO [km],GEO_lat [deg],GEO_lon [deg],Sol distance/mean distance,n_i [cm^-3],n_e [cm^-3],T_p [eV],T_e [eV],Vdown_x [km/s],Vdown_y [km/s],Vdown_z [km/s],Vupfine_x [km/s],Vupfine_y [km/s],Vupfine_z [km/s],|Vupfine| [km/s],Vupcoarse_x [km/s],Vupcoarse_y [km/s],Vupcoarse_z [km/s],Bup_x [nT],Bup_y [nT],Bup_z [nT],|Bup| [nT],Bdown_x [nT],Bdown_y [nT],Bdown_z [nT],Bu_fit [nT],Bd_fit [nT],Bu_measure [nT],Bd_measure [nT],Bmax [nT],Bu_stddev [nT],Bd_stddev [nT],N_AVG_x,N_AVG_y,N_AVG_z,nconic_rho,n_conic_phi,n_conic_x,$\hat{n}_{conic}\cdot\hat{n}_{AVG}$,|POS_{shock}-POS_{conic}| [km],V_A [km/s],C_S [km/s],thetaBN [deg],Mfms,Malfven_local,Malfven_global,beta,beta_p,beta_e,Mcrit,Wci [rad/s],tau_ci [s],Pdyn [nPa],rci [km],c/Wpe [km],c/Wpi [km],SZA [º]
2019-06-23/06:31:53,43.1127,6243.535558,5049.34,-2451.63,-2734.12,-15.0809,138.32,1.08144,1.39313,1.28899,9.8035002,7.8086885,-108.30358,-52.721012,-55.023188,-345.59527,25.650168,3.3936371,346.5624598,-315.0763,52.961701,4.3313374,1.614595,-1.6312383,-0.13329866,2.299048485,-2.5391118,-7.6553594,-0.75047803,2.4125,9.30521,2.30327,8.29185,16.7261,0.0456556,1.61516,0.81459171,-0.53996827,-0.21183628,0.434242,0.0,0.900796,0.958805,477.815,42.564218,48.725785,14.6513,5.7107374,6.956270505,8.142107998,1.8623729,1.0366555,0.82571735,1.048,0.2202681184,28.52516903,0.1397143951,1573.366415,4.6770256,193.1697086,36.02788045
2019-06-23/17:22:41,43.3141,5717.661679,3752.35,-2795.34,-3285.97,-24.8353,336.37,1.08162,1.52363,1.63169,6.136713,9.316186,-155.79575,-4.4181869,-75.354853,-348.95302,15.231819,-2.154055,349.2919387,-306.65579,26.728461,-16.992608,2.1493613,-0.86738937,0.46054764,2.363095945,-0.081271696,-5.5932382,2.0986465,2.53342,6.58034,2.43973,6.31691,14.0054,0.126581,1.78563,0.88933944,-0.44926343,-0.085074932,0.513678,0.0,0.857983,0.945857,150.731,43.112157,42.585421,16.8185,6.5145575,7.352857027,8.101936043,1.5927701,0.63252683,0.9602433,1.083,0.2264044019,27.75204569,0.1552183691,1542.77892,4.15695856,184.7119909,48.98371376
2019-06-23/21:01:55,43.3821,5696.702439,3684.07,-2820.21,-3305.52,-24.3885,282.849,1.08168,1.87216,1.67141,5.9125485,6.2258019,-131.55167,-26.345444,-77.222553,-345.03188,16.561167,-14.419521,345.7299424,-315.54402,44.708838,-38.886618,2.2883275,-0.84961832,0.33658938,2.464058938,0.52445772,-5.0571381,3.7884218,2.88521,6.61797,2.48292,6.41896,10.4103,0.0689604,0.588678,0.91459655,-0.40361717,-0.02462403,0.516094,0.0,0.856532,0.928249,164.4,39.581064,40.154414,9.87815,7.4574638,8.132532054,8.73473089,1.4843195,0.7230069,0.76131261,1.045,0.236077503,26.61492615,0.1868544413,1464.476445,4.107267824,166.6339027,49.70657913
2019-06-24/11:41:52,43.6549,5843.947452,3970.79,-2850.97,-3202.58,-22.5827,68.7378,1.08191,2.08245,1.85301,4.983386,6.1346625,-127.76142,-26.950879,-72.248657,-319.27367,16.284263,-38.216815,321.9648716,-290.12238,13.966198,-75.258063,1.8215594,-1.5282454,0.069523946,2.378748879,-2.0328428,-6.2142677,0.68836307,2.47651,6.18368,2.38234,6.68955,13.8107,0.0334894,1.07268,0.76510155,-0.63938422,-0.076206587,0.496691,0.0,0.867927,0.903486,73.4664,36.009084,38.162734,6.0464,6.4120088,6.992022001,8.941212489,1.6426578,0.73628009,0.90637767,1.014,0.2279040842,27.56942829,0.1802511475,1412.720938,3.900817565,157.9965325,47.19771874
2019-06-24/15:20:37,43.7233,5914.519645,4117.75,-2849.35,-3147.52,-22.138,15.1926,1.08197,3.59054,3.10557,4.2246356,5.655746,-156.37268,-37.415814,-72.601502,-322.46055,9.5550065,-32.827658,324.2680366,-295.07097,3.9838596,-78.743773,1.8544212,-2.2567887,0.48634728,2.961166476,-0.78733136,-6.9487888,1.5026041,3.05127,9.06432,2.96198,7.30457,19.87,0.0286314,1.48398,0.85067772,-0.508136,-0.13470421,0.503884,0.0,0.863771,0.956945,21.9142,34.095566,36.071932,26.1199,6.5161979,8.058033837,9.51056324,1.6282479,0.69620329,0.93204464,1.1455,0.2837045726,22.14692999,0.3152495888,1142.97783,3.01317156,120.3247484,45.8762521
2019-06-25/02:12:37,43.9257,5612.46928,3315.0,-2989.49,-3401.99,-29.5315,213.25,1.08214,5.65392,5.85939,3.4455884,4.9696206,-150.90835,-39.178729,-76.07852,-308.08219,21.962486,-3.9934411,308.8898415,-281.08118,63.573811,-7.9214935,2.047194,-1.7224172,0.29226717,2.691309046,2.7178272,-3.3593168,5.4622445,2.69252,8.24041,2.69252,7.3417,17.5109,0.0259591,1.94189,0.87856035,-0.41062004,-0.24397312,0.561473,0.0,0.827495,0.982091,588.941,24.699076,31.775933,25.2316,8.0471775,11.28433879,12.50612944,2.6426897,1.0820433,1.5606463,1.064,0.2578499685,24.36760161,0.4504466757,1197.944073,2.193654959,95.88706321,53.79691526
2019-06-25/06:04:35,43.997,6246.576235,4828.44,-2784.71,-2819.8,-15.2552,161.529,1.0822,2.26657,1.74608,7.6998014,6.5794536,-131.28883,-21.58691,-48.007465,-328.82239,35.457178,-12.528731,330.9657758,-303.29877,61.982817,-14.080146,1.6531444,-2.3636166,-0.33762887,2.904059761,-2.7045677,-8.1666352,-1.6065191,2.88548,9.39785,2.90629,8.88528,16.4654,0.0514314,1.21337,0.80379792,-0.55924422,-0.20286648,0.444651,0.0,0.895704,0.958878,570.196,42.106676,45.254232,20.5577,5.5293744,6.687640588,7.860173427,1.5429303,0.83199419,0.71093615,1.117,0.2782332705,22.58243702,0.2073107322,1189.526239,4.018485931,151.4433748,39.37830693
2019-06-30/02:51:41,46.1656,5764.221161,2981.76,-3536.91,-3438.84,-30.4613,244.742,1.08396,2.02559,2.08241,7.9017963,11.149193,-176.55498,-101.02838,-62.330779,-364.60827,16.56708,-0.80725405,364.9853564,-329.56819,43.153667,-1.8479174,1.5215862,-0.2539503,-1.3322016,2.038253277,-0.61095244,2.6907052,-5.2196315,2.0907,6.53786,2.04313,6.15826,14.7036,0.0608857,1.59312,0.74244733,-0.27106559,-0.61261359,0.585827,0.0,0.810436,0.965738,478.324,31.312464,47.968644,8.72622,5.6796571,8.772821809,11.65623237,3.722423,1.5439528,2.1784702,1.0055,0.1952817511,32.17497422,0.225314375,1869.019272,3.679691425,160.1987322,58.84951721
2019-06-30/06:32:38,46.234,5903.712466,3308.38,-3568.66,-3342.62,-27.1119,191.729,1.08402,1.83632,2.5724,10.319573,14.92965,-115.65926,-68.838736,-36.185184,-358.61151,16.279583,8.6774504,359.0856974,-315.78646,46.011762,22.189387,1.0934444,-1.1637054,-0.36377609,1.637731345,-0.36174716,-4.8604143,3.0091048,1.62947,6.26571,1.64658,7.2616,13.7749,0.0865702,2.04508,0.87899526,-0.46013349,-0.12507797,0.575351,0.0,0.817907,0.961349,304.323,26.503601,51.66372,19.6775,6.1501057,12.21697975,13.5485626,6.8862203,2.8144571,4.0717632,1.0115,0.1569083923,40.04365359,0.1977111009,2288.505364,3.310741484,168.2521664,55.91724361
2019-07-01/19:03:21,46.9102,5779.834007,2758.38,-3704.17,-3475.19,-33.3147,14.7658,1.08454,6.41648,7.20441,3.7508733,7.644226,-154.47139,-62.878652,-72.841361,-315.22108,0.51823022,-15.836069,315.6190408,-280.41717,-19.954483,-85.289592,0.92176564,-1.7030364,0.24676404,1.952146861,-2.5462555,-4.69091,0.10514916,1.94046,6.47834,1.95486,5.93586,24.0352,0.0682533,1.85507,0.64113373,-0.73346137,-0.22579184,0.601503,0.0,0.798871,0.926855,567.769,16.833106,35.374082,23.9282,5.4991904,11.816198,18.74989921,7.7042835,2.5359842,5.1682993,1.015,0.1870320346,33.59416648,0.5337153723,1687.513273,1.978314394,90.0091011,61.49456775
